Date,Open,High,Low,Close,Adj Close,Volume
2022-01-12,46.950001,47.509998,46.279999,46.540001,46.540001,8995700
2022-01-13,47.209999,49.270000,46.779999,48.169998,48.169998,14671200
2022-01-14,47.240002,47.540001,46.090000,46.740002,46.740002,11204800
2022-01-18,45.919998,46.980000,45.450001,45.610001,45.610001,11110800
2022-01-19,45.520000,45.700001,44.349998,44.400002,44.400002,10365300
2022-01-20,44.349998,44.840000,42.810001,42.880001,42.880001,15589600
2022-01-21,42.669998,43.020000,41.270000,41.650002,41.650002,16065200
2022-01-24,40.150002,41.490002,38.840000,41.389999,41.389999,20952000
2022-01-25,40.799999,42.110001,40.560001,41.779999,41.779999,11304600
2022-01-26,42.459999,43.060001,41.020000,41.430000,41.430000,13585700
2022-01-27,41.849998,42.779999,40.709999,40.930000,40.930000,12936400
2022-01-28,40.650002,40.930000,38.790001,40.910000,40.910000,14042700
2022-01-31,40.520000,42.910000,40.200001,42.880001,42.880001,11871000
2022-02-01,43.009998,44.230000,42.720001,43.959999,43.959999,9614300
2022-02-02,43.950001,45.349998,43.200001,44.119999,44.119999,12135300
2022-02-03,43.590000,44.480000,43.040001,43.080002,43.080002,8016500
2022-02-04,42.740002,43.130001,41.980000,42.820000,42.820000,8956900
2022-02-07,43.369999,44.990002,43.209999,44.439999,44.439999,10462900
2022-02-08,44.990002,46.910000,44.570000,46.830002,46.830002,12211700
2022-02-09,47.270000,49.290001,47.200001,48.930000,48.930000,15867900
2022-02-10,48.230000,50.160000,47.980000,49.240002,49.240002,16295800
2022-02-11,49.299999,50.250000,46.590000,46.970001,46.970001,15711600
2022-02-14,47.480000,48.730000,46.599998,46.930000,46.930000,10641700
2022-02-15,48.599998,50.509998,48.470001,50.480000,50.480000,17771600
2022-02-16,50.070000,50.939999,49.619999,50.209999,50.209999,10118900
2022-02-17,49.279999,49.720001,47.939999,48.360001,48.360001,9932300
2022-02-18,48.220001,48.910000,47.230000,47.430000,47.430000,10238300
2022-02-22,46.599998,47.540001,45.939999,46.320000,46.320000,11015100
2022-02-23,46.849998,47.049999,43.779999,43.849998,43.849998,12835900
2022-02-24,40.750000,44.220001,40.430000,44.060001,44.060001,19073500
2022-02-25,45.009998,46.490002,44.570000,45.849998,45.849998,15838200
2022-02-28,44.110001,44.799999,43.240002,44.400002,44.400002,14839900
2022-03-01,43.639999,43.880001,41.009998,41.849998,41.849998,18149000
2022-03-02,42.650002,43.349998,42.330002,42.419998,42.419998,12915800
2022-03-03,42.919998,43.290001,40.099998,40.369999,40.369999,15663900
2022-03-04,39.259998,39.480000,36.160000,36.709999,36.709999,36645600
2022-03-07,36.139999,36.500000,30.870001,31.200001,31.200001,45172400
2022-03-08,31.799999,34.240002,30.540001,32.240002,32.240002,34172800
2022-03-09,34.439999,36.459999,34.279999,34.900002,34.900002,34309000
2022-03-10,33.700001,35.759998,33.049999,35.200001,35.200001,18456400
2022-03-11,35.939999,36.139999,34.669998,34.869999,34.869999,15575900
2022-03-14,34.869999,36.430000,34.250000,35.020000,35.020000,16023200
2022-03-15,37.259998,38.779999,37.000000,38.240002,38.240002,23183200
2022-03-16,39.070000,41.230000,38.970001,41.189999,41.189999,22511200
2022-03-17,39.869999,41.419998,39.450001,41.419998,41.419998,17002100
2022-03-18,40.970001,42.389999,40.599998,42.349998,42.349998,15842600
2022-03-21,41.619999,41.709999,40.459999,40.849998,40.849998,14758100
2022-03-22,41.250000,42.720001,41.169998,42.200001,42.200001,13179200
2022-03-23,41.759998,42.110001,41.340000,41.529999,41.529999,9409900
2022-03-24,41.759998,42.860001,41.029999,42.779999,42.779999,11308400
2022-03-25,42.680000,43.950001,42.619999,43.180000,43.180000,12831200
2022-03-28,43.650002,43.910000,42.590000,43.860001,43.860001,12507800
2022-03-29,45.369999,46.279999,44.840000,45.669998,45.669998,15886500
2022-03-30,45.189999,46.119999,44.939999,45.860001,45.860001,9884300
2022-03-31,46.130001,46.860001,45.619999,46.360001,46.360001,11832100
2022-04-01,46.509998,46.799999,45.570000,45.779999,45.779999,9768900
2022-04-04,45.430000,46.009998,44.330002,45.529999,45.529999,8870800
2022-04-05,45.689999,46.040001,44.080002,44.709999,44.709999,12020400
2022-04-06,43.259998,43.700001,41.459999,43.070000,43.070000,15403100
2022-04-07,42.830002,42.860001,41.080002,42.400002,42.400002,11385900
2022-04-08,42.270000,42.770000,41.599998,41.959999,41.959999,9124100
2022-04-11,41.220001,43.459999,41.209999,42.419998,42.419998,10624300
2022-04-12,42.570000,43.320000,41.790001,42.730000,42.730000,9933300
2022-04-13,44.709999,45.380001,44.009998,45.139999,45.139999,16966600
2022-04-14,45.490002,46.509998,45.040001,45.130001,45.130001,12314900
